datetime,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2021-07-19 13:00:00,1812.56,1827.42,1802.65,1808.61,295382.843,535813758.8098,229128,140763.751,255412379.80509
2021-07-19 14:00:00,1808.61,1825.28,1805.02,1820.47,225829.228,409997281.99179,171948,116741.586,211978542.74692
2021-07-19 15:00:00,1820.48,1831.78,1815.37,1819.11,152396.311,277836744.24879,138658,75398.013,137471089.72017
2021-07-19 16:00:00,1819.26,1823.97,1813.0,1817.79,127217.306,231355993.77773,110980,61607.92,112049784.01286
2021-07-19 17:00:00,1817.79,1831.5,1816.6,1822.56,81622.444,148872127.6568,87777,40676.261,74194120.50913
2021-07-19 18:00:00,1822.49,1829.98,1812.3,1817.3,73614.989,134162391.25197,81576,33415.273,60915220.01827
2021-07-19 19:00:00,1817.29,1826.21,1807.0,1824.0,88034.84,159947742.36931,91119,44113.105,80176299.16072
2021-07-19 20:00:00,1824.0,1826.0,1816.41,1818.41,46615.667,84877450.69474,64742,23072.148,42009465.21531
2021-07-19 21:00:00,1818.41,1827.15,1810.0,1810.82,55265.778,100509934.09727,74470,26178.333,47619736.6344
2021-07-19 22:00:00,1810.82,1828.3,1810.01,1820.2,80355.407,146259780.31796,83811,41314.942,75194394.78275
2021-07-19 23:00:00,1820.16,1828.72,1814.48,1818.4,88197.009,160689403.69705,81145,42486.875,77401593.36965
2021-07-20 00:00:00,1818.4,1841.34,1812.0,1814.86,197096.044,359790389.77316,150225,94136.33,171871691.17671
2021-07-20 01:00:00,1814.86,1818.8,1773.05,1782.57,303641.722,543546456.25085,229804,138663.485,248167108.82589
2021-07-20 02:00:00,1782.57,1790.0,1746.81,1749.36,315915.204,557243856.87958,228661,137973.98,243387771.27166
2021-07-20 03:00:00,1749.3,1756.82,1715.0,1727.84,437229.693,757609612.75803,297980,208104.634,360646079.40462
2021-07-20 04:00:00,1727.79,1752.71,1722.32,1738.41,241910.042,419875472.70678,175000,128259.915,222685942.69864
2021-07-20 05:00:00,1738.54,1753.68,1736.32,1751.19,125740.177,219345582.23317,113930,63878.192,111450931.32884
2021-07-20 06:00:00,1751.19,1758.9,1745.0,1755.84,111715.219,195642983.43767,105645,57172.088,100142038.87717
2021-07-20 07:00:00,1755.84,1768.5,1755.16,1760.76,144456.332,254444353.45646,122697,79809.891,140595226.00903
2021-07-20 08:00:00,1760.77,1762.98,1734.9,1736.19,220243.301,385117092.44466,168201,106243.052,185792973.05467
2021-07-20 09:00:00,1736.17,1754.0,1716.0,1728.46,212368.059,368525775.20953,169487,102807.776,178494571.06773
2021-07-20 10:00:00,1728.45,1757.52,1721.46,1754.75,258058.658,449606961.26088,189950,139462.702,242997854.5219
2021-07-20 11:00:00,1754.74,1763.03,1742.17,1754.96,147451.684,258577057.71852,134269,73976.661,129752154.12864
2021-07-20 12:00:00,1754.98,1761.99,1744.0,1755.26,132389.681,232187007.54289,118879,67199.437,117883192.66539
2021-07-20 13:00:00,1755.26,1757.96,1734.0,1743.45,172703.155,301191948.65767,146846,86007.189,150009773.99529
2021-07-20 14:00:00,1743.45,1775.0,1736.0,1766.66,302800.301,531827041.82506,233799,159963.271,281056103.91041
2021-07-20 15:00:00,1766.65,1812.6,1761.84,1803.87,372888.501,667158608.09685,285577,201191.969,359919043.36815
